Time,Scheduled,Crawled
0.0,373,1
0.17887544631958008,474,2
2.1756322383880615,580,3
2.8412251472473145,580,4
4.636308670043945,628,5
6.129041910171509,628,6
6.215003490447998,628,7
6.472105503082275,628,8
6.754683494567871,628,9
7.455575466156006,668,10
11.467711687088013,761,11
12.471827268600464,761,12
12.69927453994751,870,13
12.948181629180908,870,14
16.28924870491028,870,15
21.473265171051025,870,16
25.604710340499878,1212,17
30.01502013206482,1212,18
30.475753784179688,1212,19
34.468963384628296,1212,20
34.860193490982056,1491,21
34.966649532318115,1491,22
35.086955547332764,1491,23
35.14106369018555,1491,24
38.436243772506714,1746,25
38.49595904350281,1746,26
44.53935694694519,18922,27
44.91983652114868,18945,28
45.85943651199341,18945,29
46.38000679016113,18945,30
47.79488468170166,19055,31
47.96868848800659,19104,32
48.50787019729614,19140,33
49.095463275909424,19165,34
49.27459454536438,19165,35
49.55260872840881,19165,36
50.50770330429077,19410,37
50.71225190162659,19410,38
51.21482276916504,19410,39
51.44966673851013,19410,40
51.674227476119995,19410,41
52.23463845252991,19410,42
52.856831550598145,19493,43
55.74436616897583,21796,44
56.291876554489136,21796,45
56.78671741485596,21796,46
56.863840103149414,21796,47
57.271132469177246,21796,48
57.753931760787964,21809,49
58.02279758453369,21809,50
59.52582001686096,21952,51
61.641435861587524,22017,52
61.97244572639465,22017,53
62.97745656967163,22017,54
63.54262328147888,22017,55
63.69536542892456,22017,56
63.779467821121216,22017,57
63.853718996047974,22017,58
66.23959279060364,22242,59
67.11401677131653,22586,60
68.08587288856506,22586,61
68.311363697052,22586,62
68.62111473083496,22586,63
69.58002090454102,22586,64
69.71310567855835,22586,65
71.42199659347534,22586,66
73.04407238960266,22844,67
74.36860084533691,23202,68
75.17951798439026,23202,69
75.36481642723083,23202,70
75.4806432723999,23202,71
75.61809253692627,23202,72
75.68115234375,23202,73
75.76874494552612,23202,74
78.36692881584167,23671,75
78.84992957115173,23988,76
78.94940948486328,23988,77
79.00734210014343,23988,78
79.08063673973083,23988,79
79.39030528068542,23988,80
79.54417252540588,23988,81
79.65158438682556,23988,82
80.73996210098267,24785,83
82.2204487323761,25239,84
82.28940463066101,25239,85
82.32326197624207,25239,86
82.86931347846985,25239,87
83.31163287162781,25239,88
83.64671730995178,25239,89
84.09911513328552,25267,90
85.02907466888428,25860,91
86.64705967903137,27031,92
86.75415301322937,27042,93
86.9170835018158,27057,94
87.00496768951416,27057,95
87.13242363929749,27057,96
87.55977749824524,27057,97
